block,name,title,numberMissing,word1,word2,statement1,statement2,question,positive,negative,answer,type,format,immersion
1,tutor,Feedback from your tutor,1,learning,None,"You finish a task due next week for your evening class and ask the tutor for their opinion. They say the work is good, apart from an incomplete section. You feel that your tutor thinks you are learning.",None,Your tutor probably thinks ...,You are making progress in the subject.,You are lazy because you did not complete the whole task.,Positive,Social,Visual,picture-es
1,cave,Exploring a narrow cave,1,small,None,"You have decided to go on a tour of a cave, even though you feel nervous about being in such an enclosed space. As you go deep inside the first cave, you think the chances you will get trapped are small.",None,"While you are in the cave, you will probably ...",Learn exciting things.,Not be able to find your way out. ,Positive,Other,Visual,picture-es
1,credit,Monthly credit card bill,1,okay,None,"Your credit card bill for the month will arrive soon. You spent a bit more this month than you normally do. When you think about your future finances, you feel that you will be okay.",None,You think that your finances will be ...,Manageable.,Out of control.,Positive,Other,Visual,picture-es
1,outing,An organized outing,1,rain,None,"You organize a day outside with family and friends. The outing does not go very well, and you feel disappointed. As you get into your car, you think that others thought the event did not go well because of the rain.",None,Your family and friends did not enjoy the outing because ...,The weather was unpredictable.,You planned it poorly.,Positive,Social,Visual,picture-es
1,flashback,Flashback to years past,1,pass,None,"You are driving to a friend's house in the town you previously lived in. When you arrive at the entrance, you have a strong flashback to when you used to visit this house many years back. You start to feel anxious about being disoriented, and you decide that what you will do about these feelings is to just let them pass.",None,"When you feel disoriented, it is helpful to ...",Simply observe and accept the feelings.,Get anxious about feeling disoriented.,Positive,Physical_AnxSensitive,Visual,picture-es
1,frames,Accident at a store,1,frowning,calm,"You are in a store and accidentally knock over a few picture frames in one of the aisles. You feel your cheeks become hot as people in the store turn and look at you. When the shop owner comes over to rearrange the picture frames, they are frowning.","After a few moments, the other shoppers turn away; they were just startled by the loud noise. The store owner kindly accepts your apology and tells you not to worry about the mess, so you then feel calm.",The other shoppers probably think you are ...,Considerate for apologizing.,Awkward and uncoordinated.,Positive,Social,Visual,picture-es
1,fundraising,Office fundraiser presentation,1,excited,None,"You are put in charge of your office's fundraising efforts and quickly realize that your coworkers are not very interested in the fundraising. At a meeting, you give a presentation about the importance of helping with the fundraising, during which your coworkers are quiet. As you sit down after your presentation, you think your coworkers seem excited.",None,Your coworkers are probably thinking ...,That they want to help you with the fundraiser.  ,That your presentation is boring. ,Positive,Social,Visual,picture-es
1,mouth,Dry mouth cause,2,minimal,None,"You have experienced dry mouth for a few days. You wonder whether the dry mouth is a minor side effect from a medicine you just started taking, or something more serious. The likelihood that your dry mouth reflects a serious health problem is minimal.",None,Your dry mouth is probably due to ...,A new medication.,A serious illness.,Positive,Physical_NonAnxSensitive,Visual,picture-es
1,blankets,Covered with blankets,1,suffocating,None,"It is the middle of winter, and you are at home but feeling very cold. You surround your whole body with heavy blankets. Being smothered in blankets is suffocating.",None,Covering yourself with blankets makes you feel ...,Warm and relaxed.,Scared and constricted.,Negative,Physical_AnxSensitive,Visual,picture-es
1,promotion,Job promotion opportunity,1,rejected,succeed,You are at work and find out that an opportunity for promotion in your department just came up. You think you might be eligible and decide to ask your boss for more details. Your boss tells you that the selection criteria are very strict and that your application will likely be rejected.,"The next day, you bump into your boss in the corridor. You then realize that although your boss thinks you may not be ready for promotion just yet, they strongly believe you are capable of being ready for one next year and are likely to succeed.",Your boss thinks you shouldn't apply for a promotion now because ...,You will be ready for one next year.,You will never be capable.,Positive,Social,Visual,picture-es
