"block","name","title","numberMissing","word1","word2","statement1","statement2","question","positive","negative","answer","type","format","immersion"
1,"backpacking","Backpacking plans",2,"None","None","You are backpacking abroad with your best friend. You have a general idea of what you will do each day, but you didn't plan out every detail ahead of time. This uncertainty causes some anxiety that is tolerable.","None","Is the spontaneity of your trip going to be tolerable?","Yes","No","Positive","Other","Visual","picture"
1,"silent","A moment of silence",2,"uncomfortable","glad","One afternoon you are hanging out with a friend, and you notice that the conversation has died down. Neither of you says anything for a while, and your friend can sense that you feel uncomfortable.","That evening, you realize that it is completely normal to have silent breaks during conversations. You believe that your friend thinks it was better to stay silent than to make up things to say, and was probably glad.","Does your friend think you are okay with silence?","Yes","No","Positive","Social","Visual","picture"
1,"station","Collecting an old friend",2,"None","None","You arrange to meet up with a friend you have not seen for many years. You drive to the train station to pick them up. When you arrive, you know they will find spending time with you fun.","None","Do you think your friend will have a good time with you?","Yes","No","Positive","Social","Visual","picture"
1,"teacher","In the teacher's office",2,"None","None","You are having a discussion with your teacher in their office, which is a little anxiety-provoking for you. You think about ending the discussion early. After a brief pause, you decide to stay.","None","Are you able to continue the discussion with your teacher?","Yes","No","Positive","Social","Visual","picture"
1,"physical","Annual physical exam",2,"None","None","You are getting your annual physical with your doctor. After an initial exam, your doctor indicates that something looks unusual, and says they will need to get a second opinion. When it comes to managing your anxiety while you wait in the exam room, you are capable.","None","Are you capable of managing your anxiety while waiting for your doctor?","Yes","No","Positive","Physical_NonAnxSensitive","Visual","picture"
1,"dealer","Buying a car",2,"content","None","You are at the local car dealer looking to buy a new car. After considering all the options, you are still torn between two cars. When you tell the dealer which car you decided to buy, you feel content.","None","Are you anxious about your decision?","No","Yes","Positive","Other","Visual","picture"
1,"class","A prepared speech",2,"intolerable","None","You have to give a speech for a class you are taking, and you spend a long time preparing. As you walk into the classroom to begin your speech, your anxiety is intolerable.","None","Is your anxiety intolerable?","No","Yes","Negative","Social","Visual","picture"
1,"vacation","Vacationing by plane",2,"None","None","You are traveling to your vacation destination on an airplane. As the plane accelerates during takeoff, your chest begins to feel tight. You are relaxed. ","None","Are you scared that you won't be able to breathe properly?","No","Yes","Positive","Physical_AnxSensitive","Visual","picture"
1,"father","An important call",2,"annoyed","caring","You work in a large office with your supervisors. One morning you have to call your father and discuss an important matter. Everyone else is working quietly, and several colleagues look up and seem annoyed.","After you hang up, you realize that although everyone could hear your conversation, it was a short call and you were being as quiet as possible. You believe that your coworkers probably think calling your father from work means you are caring.","Were others judging you negatively because you called your father from work?","No","Yes","Positive","Social","Visual","picture"
1,"funny","A big laugh",2,"enjoyable","None","At a house party, your friend tells a funny joke. You laugh so much that it feels like you can't get enough air. This experience is enjoyable. ","None","Is it fun to laugh really hard?","Yes","No","Positive","Physical_AnxSensitive","Visual","picture"
2,"child","A child's request",2,"None","None","You are looking after a friend's child. The child asks to go to a park in a different neighborhood. In your opinion, an ordinary outing like this is safe.","None","Is going to a park in a different neighborhood dangerous?","No","Yes","Positive","Other","Visual","picture"
