"block","name","title","numberMissing","word1","word2","statement1","statement2","question","positive","negative","answer","type","format","immersion"
1,"neighbor-es","Encontrándote a un vecino",1,"distraído","None","Mientras caminas por una calle llena de gente, ves a tu vecino del otro lado. Lo llamas, pero no te contesta. En la calle, piensas que debe ser porque estaba distraído.","None","¿Tu vecino ignoró a propósito tu llamada en la calle?","No","Sí","Positive","Social","Visual","picture-es"
1,"dentist","El chequeo con el dentista",1,"sanos","None","Tienes una cita rutinaria con el dentista y descubres que necesitas algunas pruebas para revisar la salud de tus encías y dientes. Después de que el dentista realiza las pruebas, continúas reposando en la silla del dentista mientras esperas los resultados. Crees que tus dientes y encías probablemente estén sanos.","None","¿Crees que algo está mal con tus encías?","No","Sí","Positive","Physical_NonAnxSensitive","Visual","picture-es"
1,"chair","Una silla chirriante",1,"fruncidos","positivamente","Llegas a tiempo a una reunión en la mañana, pero ya todos los demás están ahí. Tus colegas de trabajo te miran sacar la silla y hace un ruido altisonante. Tus colegas te miran con los ceños fruncidos.","Al final, te das cuenta que tus colegas de trabajo sólo son buenos empleados y están entusiasmados para empezar la reunión. Durante la reunión, te respondieron positivamente.","¿Tus colegas de trabajo te juzgan negativamente?","No","Sí","Positive","Social","Visual","picture-es"
1,"language","El examen del curso de idioma",1,"inteligente","None","Como parte de un curso de idioma, debes tomar un examen oral. El material ha sido cubierto brevemente en clase y te pidieron hacer una investigación individual. Durante la clase, mientras esperas tu turno, sientes que la gente va a pensar que pareces ser inteligente.","None","¿La gente pensará que eres inteligente cuando presentes?","Sí","No","Positive","Social","Visual","picture-es"
1,"aid","El curso de primeros auxilios",1,"preparado","None","Has completado un curso de primeros auxilios y ahora debes tomar un examen práctico donde demuestres lo que aprendiste delante de tu clase. Pasaste la noche anterior practicando para este examen difícil. Cuando comienzas el examen, tus compañeros de clase que te observan piensan que no estás preparado.","None","¿Tus compañeros de clase piensan que estás preparado para el examen?","Sí","No","Negative","Social","Visual","picture-es"
1,"section-es","Entregando un trabajo",1,"pases","None","Estás tomando una clase y recientemente entregaste un trabajo. Decides volver a leer el documento enviado y te das cuenta de que eliminaste accidentalmente una sección que tenías la intención de incluir en el trabajo. Dado que accidentalmente realizaste esta eliminación, crees que probablemente pases.","None","¿Vas a obtener una calificación aprobatoria en el trabajo?","Sí","No","Positive","Other","Visual","picture-es"
1,"shaky","Anticipando una entrevista",1,"emocionado","None","Te están entrevistando para un trabajo muy bueno. Antes de entrar al cuarto, te das cuenta de que te sientes tembloroso. Te sientes increíblemente emocionado.","None","¿Te da miedo sentirse tembloroso?","No","Sí","Positive","Physical_AnxSensitive","Visual","picture-es"
1,"traffic","Tarde para la cena",1,"tráfico","None","Vas a reunirte con tus padres para cenar. Llegas al restaurante y todavía no han llegado, lo cual es extraño porque normalmente llegan a tiempo. Probablemente lleguen tarde debido al tráfico.","None","¿Tus padres tuvieron un accidente de carro?","No","Sí","Positive","Other","Visual","picture-es"
1,"report-es","Escribiendo un informe",1,"positiva","None","Tu supervisor te pide escribir un informe. El informe completo es muy corto pero te tomó mucho tiempo y esfuerzo. Basado en tu escritura, esperas que la opinión de tu supervisor sobre ti sea positiva.","None","¿Esperas que tu jefe tenga una opinión positiva de ti después de leer tu informe?","Sí","No","Positive","Social","Visual","picture-es"
1,"bus","Alcanzando la parada del autobús",1,"sentado","None","Es lunes por la mañana y te apresuras para llegar a la parada del autobús. Sientes tu corazón latir rápidamente mientras entras al autobús y te sientas. Temiendo a que te vaya a dar un ataque de pánico, tienes un impulso fuerte de salir del autobús y aún así decides observar esas sensaciones sin reaccionar y te quedas sentado.","None","¿Es necesario salir del autobús porque sientes tu corazón latiendo rápidamente?","No","Sí","Positive","Physical_AnxSensitive","Visual","picture-es"
2,"haircut","Un corte de pelo diferente",1,"bien","None","Estando en la peluquería decides irte por un corte de pelo completamente diferente. Después, cuando ves a tus amigos, se expresan con asombro. Sus expresiones probablemente signifiquen que piensan que el nuevo estilo te hace ver bien.","None","¿A tus amigos le gusta tu corte de pelo nuevo?","Sí","No","Positive","Social","Visual","picture-es"
2,"audition","Audicionando para una obra",1,"preocupa","None","Vas a hacer una audición para una obra de teatro. Sientes un temblor en tu cuerpo. Hay gente cerca de ti y te preocupa.","None","¿Te alegra que haya otras personas cerca cuando te sientes tembloroso?","Sí","No","Negative","Physical_AnxSensitive","Visual","picture-es"
2,"outfit","Pensamientos sobre tu vestimenta",1,"elegante","None","Llegas a una fiesta con un atuendo nuevo. Todos te voltean a ver al entrar. Decides que es porque deben pensar que te ves elegante.","None","¿A todos en la fiesta les gustó tu nuevo atuendo?","Sí","No","Positive","Social","Visual","picture-es"
