"block","name","title","word1","word2","statement1","statement2","question","positive","negative","answer","type","format","immersion"
1,"quiet","An engaged audience","interesting","None","You are required to give a presentation to a group of work colleagues that you know well. They all are quiet during your presentation. As you think about the presentation later at home, you think that your colleagues found your presentation interesting.","None","Your colleagues were probably quiet because…","They were engaged by your presentation.","They were bored by your presentation.","Positive","Social","Visual","picture"
1,"rough","Mistakes on the job","secure","None","Even though you normally excel at your job, you recently had a rough week at work. Specifically, you made a couple of mistakes on an important project. When you think about the future, you think it is likely that your job is secure.","None","In the upcoming weeks at work, you will probably…","Learn new skills. ","Lose your job. ","Positive","Other","Visual","none"
1,"evaluate","Health evaluation","unhealthy","None","At your routine doctor’s appointment, your doctor decides to run a few tests to evaluate your health. The doctor tells you that she will get you your results within a week. While you wait for your results, you think you are likely unhealthy.","None","You think that your results will reveal that…","You are healthy.","Something is seriously wrong with your health.","Negative","Physical_NonAnxSensitive","Visual","none"
1,"recover","A sudden stumble","prepared","None","It is your first day at a new job, and you report to your manager. As you approach her, you stumble then recover. She noticed, and her first impression of you is probably that you are very prepared.","None","Your manager will probably think that…","You are ready to take on challenges.","You are a clumsy person.","Positive","Social","Visual","none"
1,"expertise","Showcasing your experience","confident","None","Your new supervisor calls a meeting to meet everyone and asks each of you in turn to present yourself and your area of expertise. When it is your turn to speak, you pause frequently. As you reflect on the meeting later in the day, you feel that the supervisor thought you sounded confident.","None","Your supervisor probably found you to be…","Prepared and proficient. ","Unprepared and incompetent. ","Positive","Social","Visual","picture"
1,"cold","Feeling the cold","manageable","None","It's a cold evening and you have been walking outside without a jacket. After a few minutes, your body starts shaking and you notice that your heart is racing. You feel a little scared thinking about what this could mean, and you decide that your body's response to the cold is manageable.","None","What did you do before you could get inside again?","Tolerate your body's normal response to the cold.","Assume that something bad is happening to you.","Positive","Physical_AnxSensitive","Visual","none"
1,"metro","Thoughts at the train station","fascinated","None","You are at a metro stop waiting for a train. Standing by the edge, you realize you've never thought about how far a drop it is to the rails below. You are fascinated.","None","While waiting for the train, you think about how…","You are safe standing above the tracks.","You are in danger of falling over the edge.","Positive","Other","Visual","none"
1,"rider","An open seat","thought","None","After a long day of shopping, you get onto a bus with a lot of bags and notice the only open seat is one that is facing another rider. As you sit down, the rider across from you doesn’t look at you. This is probably because he is lost in thought.","None","The rider across from you is probably…","Distracted and unaware of his surroundings.","Thinking that you are an unfriendly person.","Positive","Social","Visual","none"
1,"heart","Energetic dancing","dancing","None","You are at a house party and start to dance with your friends. After some time, you can feel your heart beating very fast, and this scares you. When more people come in, you consider leaving, but you decide you can handle these feelings and keep on dancing.","None","When your heart started beating very fast…","You managed your anxiety and kept on dancing.","You stopped dancing because of your anxiety.","Positive","Physical_AnxSensitive","Visual","none"
1,"water","Accident on a date","awful","fine","While on a date, you accidentally spill a glass of water. You feel slightly embarrassed as your date helps you clean up the spill. When everything is dry again, you feel that the rest of the date is likely to be awful.","In the end, you think about how you would feel if your date spilled a glass of water. You realize that you, and most people, probably wouldn't care, and that spilling one glass of water is likely to be fine.","Your date probably thinks that your spilling water…","Is not a big deal at all.","Means you are clumsy and careless.","Positive","Social","Visual","picture"
2,"gas","Gas station food stop","hunger","None","You have been riding in the car all day with your partner and have not yet stopped for food. When you eventually make a stop at the gas station, you realize that your stomach is starting to ache. This is probably a sign of hunger.","None","Your stomachache probably means that…","You are just hungry.","You are sick.","Positive","Physical_NonAnxSensitive","Visual","none"
2,"home","Observing a party","stay","None","You arrive at a large party and quickly realize that there are a lot of people you do not know there. You feel anxious and consider going home. Looking around the room, you decide to stay.","None","The party will probably be…","Exciting because you have a chance to meet new people.","Awkward and uncomfortable because you do not know many people.","Positive","Social","Visual","none"
2,"jacket","Speaking to a sales associate","annoyed","friendly","You are at the department store to return a jacket. When you speak with a sales associate at the counter, she does not smile and stares at you looking very annoyed.","In the end, you realize that the person at the counter was very stressed out because of a previous customer, and once she started helping you she was very friendly.","The sales associate didn't smile much because…","She was annoyed by someone else.","She thinks you are annoying.","Positive","Social","Visual","picture"
2,"blur","Blurry eyesight","relaxed","None","You are very tired. As you lie down in your bed, your vision begins to blur. You are relaxed.","None","You realize that…","You are especially tired.","You could be losing your vision permanently.","Positive","Physical_AnxSensitive","Visual","none"
2,"town","Cancelled plans","busy","None","You arrange to meet a friend in town. Last time you met, you disagreed on something you were discussing. Just before you leave, she calls to say that she can't make it. As you put down the phone, you think that this is because she is feeling busy.","None","Your friend probably cancelled your plans together because…","She remembered she had an important meeting at work at the same time.","She is mad at you because of your previous disagreement.","Positive","Social","Visual","picture"
2,"mouth","Dry mouth cause","minimal","None","You have experienced dry mouth for a few days. You wonder whether the dry mouth is a minor side effect from a medicine you just started taking, or something more serious. The likelihood that your dry mouth reflects a serious health problem is minimal.","None","Your dry mouth is probably due to…","A new medication.","A serious illness.","Positive","Physical_NonAnxSensitive","Visual","none"
2,"minor","Project perfection","worried","None","You have spent several weeks perfecting a project. When you turn it in, there are a few very minor adjustments you wish you had time to make. As you think about your work, you feel worried.","None","When your supervisor sees your project, he will probably be…","Impressed. ","Disappointed. ","Negative","Other","Visual","none"
2,"book","Differing opinion","included","None","You meet someone new at a book club and have a stimulating discussion. Towards the end you find that she disagrees with something that you said. When the book club meets next, you expect that you will be included.","None","Upon meeting again, you think that…","Other members will be excited to hear your valuable contributions.","Other members will exclude you because of your opinions.","Positive","Social","Visual","picture"
2,"spicy","Super spicy food","enjoyable","None","It's a weeknight and your new roommate makes some very spicy food for dinner. After eating some, your face begins to sweat, and you can feel your heart beating in your chest. These sensations trigger streams of anxious thoughts. You decide to focus on the conversation, and you experience the rest of dinner as enjoyable.","None","You respond to the spicy food by…","Tolerating your heart racing and focusing on the conversation.","Continuing to worry about whether you have a medical issue.","Positive","Physical_AnxSensitive","Visual","none"
2,"interesting","First time meeting","okay","None","You are at a birthday party for a friend and talking with someone you just met. You cannot tell whether the person thinks you are interesting or boring, and you decide that not knowing is okay.","None","Overall, the conversation was probably a…","Low-pressure and pleasant chance to meet a new person.","Stressful situation, because the person might have found you uninteresting.","Positive","Social","Visual","none"
3,"older","Aging parents","good","None","You go home for the holidays and notice that your parents are getting older. You find yourself wondering what their health will be like in the future. You think their health will likely be good.","None","Your parents will probably…","Remain healthy in the future.","Start showing health issues soon.","Positive","Other","Visual","none"
3,"salad","Eating a salad","interesting","None","You are out to lunch with a friend. As you eat your salad and talk with her, she stares at you. She probably thinks that you are interesting.","None","Your friend was probably looking at you because…","You are great company.","You have poor table manners.","Positive","Social","Visual","picture"
3,"hug","A welcome greeting","nice","None","It's the weekend and you are in town. You see a friend you haven't seen in ages. Your friend gives you a big hug, and you feel smothered. This feeling is nice.","None","While hugging your friend, you feel…","Missed and loved.","Like you can't catch your breath.","Positive","Physical_AnxSensitive","Visual","none"
3,"spill","An accidental spill","distress","sincere","You are working on a project with a coworker at a small table in a coffee shop, and when your coffee arrives, you accidentally spill it all over her papers, which makes her jump in distress.","After you clean up the mess as best as you can, you realize that her response was a normal, knee-jerk reaction. She says that she is not upset with you, and you believe that she is sincere.","Your coworker is probably…","Not bothered.","Annoyed.","Positive","Social","Visual","picture"
3,"downsizing","Changing economy","possible","None","This morning you hear in the news that a lot of businesses are currently downsizing. You think about what will happen if you lose your job. You decide that finding another job will be possible.","None","If you lose your job, you will probably…","Find a new job that you enjoy. ","Be unable to support yourself. ","Positive","Other","Visual","none"
3,"unusual","Unusual views","excluded","included","During a discussion, you end up debating an issue with colleagues. You later discover that they found your views unusual. When the issue comes up again in a group conversation, you expect that you will be excluded.","In the end, even though your colleagues didn't share your view, they found your opinion interesting. The next time the issue comes up, they ask you for your thoughts, and you feel included.","Your colleagues probably think your views are…","Interesting.","Offensive.","Positive","Social","Visual","none"
3,"conference","Speech deliberation","avoid","None","Your boss asks you to give a speech at a conference. You are nervous about the idea of giving a speech and consider telling your boss that you do not want to give the speech. After thinking about your anxiety, you decide that the speech is something you want to avoid.","None","You think your speech will…","Be well-received.","Go poorly.","Negative","Social","Visual","picture"
