"block","name","title","word1","word2","statement1","statement2","question","positive","negative","answer","type","format","immersion"
1,"tutor","Feedback from your tutor","learning","None","You finish a task due next week for your evening class and ask the tutor for his opinion. He says the work is good, apart from an incomplete section. You feel that he thinks you are learning.","None","Your tutor probably thinks…","You are making progress in the subject.","You are lazy because you did not complete the whole task.","Positive","Social","Visual","picture"
1,"cave","Exploring a narrow cave","small","None","You have decided to go on a tour of a cave, even though you feel nervous about being in such an enclosed space. As you go deep inside the first cave, you think the chances you will get trapped are small.","None","While you are in the cave, you will probably…","Learn exciting things.","Not be able to find your way out. ","Positive","Other","Visual","none"
1,"credit","Monthly credit card bill","okay","None","Your credit card bill for the month will arrive soon. You spent a bit more this month than you normally do. When you think about your future finances, you feel that you will be okay.","None","You think that your finances will be…","Manageable.","Out of control.","Positive","Other","Visual","none"
1,"outing","An organized outing","rain","None","You organize a day outside with family and friends. The outing does not go very well, and you feel disappointed. As you get into your car, you think that others thought the event did not go well because of rain.","None","Your family and friends did not enjoy the outing because…","The weather was unpredictable.","You planned it poorly.","Positive","Social","Visual","picture"
1,"flashback","Flashback to years past","pass","None","You are driving to a friend's house in the town you previously lived in. When you arrive at the entrance, you have a strong flashback to when you used to visit this house many years back. You start to feel anxious about being disoriented, and you decide that what you will do about these feelings is to just let them pass.","None","When you feel disoriented, it is helpful to…","Simply observe and accept the feelings","Get anxious about feeling disoriented","Positive","Physical_AnxSensitive","Visual","none"
1,"frames","Accident at a store","frowning","calm","You are in a store and accidentally knock over a few picture frames in one of the aisles. You feel your cheeks become hot as people in the store turn and look at you. When the shop owner comes over to rearrange the picture frames, he is frowning.","After a few moments, the other shoppers turn away; they were just startled by the loud noise. The store owner kindly accepts your apology and tells you not to worry about the mess, so you then feel calm.","The other shoppers probably think you are…","Considerate for apologizing.","Awkward and uncoordinated.","Positive","Social","Visual","picture"
1,"fundraising","Office fundraiser presentation","excited","None","You are put in charge of your office’s fundraising efforts and quickly realize that your coworkers are not very interested in the fundraising. At a meeting, you give a presentation about the importance of helping with the fundraising, during which your coworkers are quiet. As you sit down after your presentation, you think your coworkers seem excited.","None","Your coworkers are probably thinking…","That they want to help you with the fundraiser.  ","That your presentation is boring. ","Positive","Social","Visual","picture"
1,"hospital","Hospital waiting room","minimal","None","You go to the hospital to visit a friend. In the waiting room, someone behind you coughs. If you wash your hands, the probability that you will get sick is minimal.","None","If you wash your hands, you will most likely…","Stay healthy.","Get sick anyway.","Positive","Physical_NonAnxSensitive","Visual","none"
1,"blankets","Covered with blankets","suffocating","None","It is the middle of winter, and you are at home but feeling very cold. You surround your whole body with heavy blankets. Being smothered in blankets is suffocating.","None","Covering yourself with blankets makes you feel…","Warm and relaxed.","Scared and constricted.","Negative","Physical_AnxSensitive","Visual","none"
1,"promotion","Job promotion opportunity","rejected","succeed","You are at work and find out that an opportunity for promotion in your department just came up. You think you might be eligible and decide to ask your boss for more details. Your boss tells you that the selection criteria are very strict and that your application will likely be rejected.","The next day, you bump into your boss in the kitchen, and you realize that although your boss thinks you may not be ready for promotion just yet, he strongly believes you are capable of being ready for one next year and are likely to succeed.","Your boss thinks you shouldn't apply for a promotion now because…","You will be ready for one next year.","You will never be capable.","Positive","Social","Visual","none"
2,"club","Spotting an old friend","distracted","None","While dancing at a club, you spot an old friend not far away and call out to him. He does not reply to you. You decide that this is because he is distracted.","None","Your friend probably did not reply to you because…","He did not see you call out to him.","He does not like you. ","Positive","Social","Visual","picture"
2,"sleep","Time to sleep","relaxing","None","You are lying in your bed, about to go to sleep. As everything quiets down, you begin to breathe slower than you usually do. This is relaxing.","None","The slowing of your heart rate and breathing probably means…","Your body needs rest after a long day of work.","You are not getting enough oxygen and will pass out.","Positive","Physical_AnxSensitive","Visual","none"
