"block","name","title","numberMissing","word1","word2","statement1","statement2","question","positive","negative","answer","type","format","immersion"
1,"incline","An extreme incline",2,"continue","None","You are on a weekend hiking trip with a friend. When you reach a steep incline, you start to breathe heavily. You are scared about what this could mean for your health, especially given that you are out in the wilderness. Paying attention to what it feels like to breathe in and out helps to focus your mind, and you decide to continue.","None","Are you able to manage your anxiety by observing your breathing?","Yes","No","Positive","Physical_AnxSensitive","Visual","none"
1,"company","Party with coworkers",2,"intolerable","bearable","You are at a small party with people from your company. You feel nervous about spending time with your coworkers outside of work. At the start of the party, you decide your nervousness is intolerable.","A few minutes later, you close your eyes and take a few breaths to calm yourself. You return to the conversation believing that you can manage your anxiety, and that your nervousness will be bearable.","Can you manage your nervousness at the party with your coworkers?","Yes","No","Positive","Social","Visual","picture"
1,"blind","Thinking about a date",2,"pleasant","None","Your best friend arranges a blind date for you. As you sit in the bar waiting to meet your date for the first time, you wonder how it will go. You feel that your date will think you are pleasant.","None","Do you think you will make a bad impression on your date?","No","Yes","Positive","Social","Visual","picture"
1,"relationship","Advice for a friend",2,"helpful","None","You spend an evening with a friend and end up talking about her relationship problems. As you give her some advice, you notice she is quiet. Once you get home later, you reflect on the evening and think that she found your advice helpful.","None","Did your friend think you gave her good advice about relationships?","Yes","No","Positive","Social","Visual","none"
1,"opinion","Your tutor's comments",2,"careless","learning","You finish a task due next week for your evening class and ask the tutor for his opinion. He says the work is good, apart from an incomplete section. You feel that he thinks you are careless.","In the end, you realize that the tutor brought the error to your attention so you could improve it before turning it in. You fix the incomplete section and believe that the tutor thinks you are learning.","Was your tutor pleased with your progress?","Yes","No","Positive","Social","Visual","none"
1,"skydiving","First time skydiving",2,"exhilarating","None","You are taking a skydiving lesson. When you think about jumping out of the airplane, your body begins to tremble. This is exhilarating.","None","Are you feeling excited?","Yes","No","Positive","Physical_AnxSensitive","Visual","none"
1,"bridge","Suspension bridge safety",2,"nervous","None","You are on a hike with friends. You come to a suspension bridge you need to cross, but you aren't a hundred percent sure it is safe even though your friends think it is probably okay. As you cross the bridge, you feel nervous.","None","Are you worried as you cross the bridge?  ","No","Yes","Negative","Other","Visual","picture"
1,"personal","A personal question",2,"open","None","You are sitting on the couch and watching television with a friend. Your friend asks you a personal question. You answer honestly, and you think your friend probably judges you to be open.","None","Does your friend have a more negative opinion of you after you share personal information?","No","Yes","Positive","Social","Visual","picture"
1,"leak","A leaky roof",2,"fine","None","Your roof has a leak, and water comes into the house every time it rains. You think it is going to be expensive to hire someone to fix it. As you think about paying the bill to have the roof fixed, you feel that you will be fine.","None","Will you be broke after paying the bill for fixing the roof?","No","Yes","Positive","Other","Visual","none"
1,"disease","Doctor's appointment results",2,"minimal","None","At your routine doctor’s appointment, you are asked to take a test for a disease. After the test, you wait for your results in the waiting room. You think the chances that you have the disease are minimal. ","None","Do you think the test results will say you have the disease?","No","Yes","Positive","Physical_NonAnxSensitive","Visual","none"
2,"convention","Your boss's reaction",2,"frown","impressed","You are giving a speech at a convention for work. As you speak, you look into the crowd and notice that your boss’s expression is almost emotionless, but you can make out a slight frown.","After the speech, you realize that people often look emotionless and frown when they are concentrating and focusing hard. You think that your boss was most likely feeling impressed.","Does your boss’s neutral expression mean that she is disappointed with your speech?","No","Yes","Positive","Social","Visual","picture"
2,"copy","A lengthy read",2,"appropriate","None","You have an English assignment to write, and you try very hard to make sure it is comprehensive. The final copy is quite long. When your teacher reads it, you think she will judge your efforts as appropriate.","None","Will your teacher judge your efforts as reasonable?","Yes","No","Positive","Social","Visual","none"
2,"board","Correct spelling",2,"great","None","During a meeting your boss calls on you to write a few notes on the board. As you write down what she says, you hope you are not mispelling any words. Everyone watching you probably thinks you are doing great. ","None","Do your coworkers judge you negatively while you write on the board?","No","Yes","Positive","Social","Visual","picture"
